name,room_type,price,minimum_nights,number_of_reviews
Casa Madrona - Urban Oasis 1 block from the park!,Entire home/apt,295,1,32
Glorious sun room w/ memory foambed,Private room,55,2,148
The Adorable Sweet Orange Craftsman,Entire home/apt,155,28,40
The Coolest Tangerine Dream MIL!,Entire home/apt,125,5,53
the down home   spacious  central and fab!,Entire home/apt,100,4,97
Luna Lower - West Seattle,Entire home/apt,81,30,74
Stay here for a blast!!!!*fall Sale*,Private room,50,5,39
the orange house  quiet 'n central,Entire home/apt,280,2,96
Stay here for a blast 2,Private room,50,5,23
Stylish Oasis in a Prime Location in Belltown,Entire home/apt,156,1,105
Beautiful  Private Spot in Quiet Ballard,Entire home/apt,74,2,822
Cozy Ballard Apartment,Entire home/apt,67,7,100
Your Home Away From Home.  Private Parking onsite.,Entire home/apt,99,2,4
Home Away From Home - MIL Suite,Entire home/apt,95,30,28
Big sunny central house with view!,Private room,59,30,272
green suite seattle - dog friendly,Entire home/apt,80,5,48
Light and airy  steps to the Lake.,Private room,70,2,190
Water view  pet friendly  walk to beach/water-taxi,Entire home/apt,250,30,1
West Seattle: Admiral calm & quiet,Private room,75,2,72
West Seattle/Alki Beach House,Entire home/apt,93,2,172
Modern  Light-Filled Fremont Flat,Entire home/apt,74,120,50
Suite+Office in Gorgeous View Home,Private room,85,2,144
Teeny Tiny Guestyhouse!,Entire home/apt,79,3,407
Mother-in-Law Apartment in Seattle,Entire home/apt,75,2,126
Green Lake Guest Suite with Infrared Sauna,Entire home/apt,136,3,290
Bright Cheery Room in Seattle House,Private room,85,2,60
Metrobilly Retreat,Private room,65,1,157
Beautiful Water View Condo near UW + Eastlake!,Entire home/apt,249,7,40
Seattle Phinney Ridge Ballard,Entire home/apt,175,30,26
 The 5-Star House   #9 The red room,Private room,60,3,74
Relaxing Garden Cottage w/ Parking!,Entire home/apt,88,3,384
LOCATION! MONTHLY Discounts  SPACIOUS 2Bd/2Ba,Entire home/apt,208,2,184
Private  Large Room+Bath in Ballard,Private room,93,1,134
Fun home in Funky Fremont  Seattle,Entire home/apt,285,30,87
Location! LOW MONTHLY RATES.  Luxury w/pkg inc.,Entire home/apt,145,2,122
Serene Room in Sunny Cottage near Discovery Park,Private room,44,30,218
Sunny Parisian room w/ best cooling memoryfoam bed,Private room,45,2,164
West Seattle room with private bath,Private room,60,30,1
Quiet Greenlake home  balcony room in the trees,Private room,80,30,18
Scandinavian Queen Anne Home,Entire home/apt,215,30,110
Stylish Queen Anne Apartment,Entire home/apt,165,30,299
Phinney Oasis-Ballard/Phinney,Entire home/apt,85,30,161
Charming Hideaway in North Ballard,Entire home/apt,100,1,67
Fall Getaway In Belltown Condo-Close to Pike Place,Entire home/apt,102,2,105
Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,Entire home/apt,145,2,134
Seattle Sojourn Guest Suite,Entire home/apt,140,4,100
The Nest in the Heart of the City,Entire home/apt,121,3,211
2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,Entire home/apt,116,2,121
Cap Hill Mountain/Lake View Oasis,Entire home/apt,125,30,10
1 Bed Water View Walk To Pike Place & Space Needle,Entire home/apt,127,2,69
Hip Condo Private Deck East Lake Union - Long Term,Entire home/apt,130,30,10
spacious  great location w view,Entire home/apt,200,30,120
Charming Wallingford Apartment,Entire home/apt,70,4,196
St. John's Apt. 300 *Walkscore 99*,Entire home/apt,101,30,59
West Seattle Backyard Vacation Cottage,Entire home/apt,69,30,72
Vacation House West Seattle - Close to Beach,Entire home/apt,104,7,40
